pl_name (Exoplanet),hostname (Host star),pl_orbsmax (d),pl_rade (Dp),st_rad (Ds),Diameter of planet in terms of Earth's diameter,Diameter of star in terms of Sun's diameter,Ds/Dp,d/Ds
EPIC 201595106 b,EPIC 201595106,,1.2,0.99,1.2,0.99,90.02822201,0
EPIC 201757695.02,EPIC 201757695,0.0296,0.908,0.66,0.908,0.66,79.32001939,4.819858934
EPIC 206024342 c,EPIC 206024342,,1.4,1.1,1.4,1.1,85.74116382,0
EPIC 212587672 b,EPIC 212587672,,1.26,0.98,1.26,0.98,84.87509146,0
EPIC 212624936 b,EPIC 212624936,,1.2,0.93,1.2,0.93,84.57196613,0
EPIC 220492298 b,EPIC 220492298,,0.99,0.89,0.99,0.89,98.10237844,0
EPIC 249893012 b,EPIC 249893012,0.047,1.95,1.71,1.95,1.71,95.69433389,2.953849062
HD 158259 b,HD 158259,,1.292,1.26,1.292,1.26,106.4223283,0
HD 213885 b,HD 213885,,1.613,1.13,1.613,1.13,76.44847048,0
HD 21749 c,GJ 143,0.0695,0.892,0.69,0.892,0.69,84.41292729,10.82485945
HD 23472 d,HD 23472,0.04298,0.75,0.71,0.75,0.71,103.3051113,6.505708718
HD 23472 e,HD 23472,0.068,0.818,0.71,0.818,0.71,94.71740035,10.2928849
HD 80653 b,HD 80653,,1.611,1.26,1.611,1.26,85.34925398,0
HD 93963 A b,HD 93963 A,0.02085,1.35,1.04,1.35,1.04,84.06675726,2.15456337
HR 858 b,HR 858,,1.771,1.28,1.771,1.28,78.87077951,0
K2-100 b,K2-100,,1.52,1.27,1.52,1.27,91.17690746,0
K2-111 b,K2-111,,1.41,1.27,1.41,1.27,98.28999953,0
K2-116 b,K2-116,0.048,0.69,0.67,0.69,0.67,105.9620707,7.699330932
K2-157 b,K2-157,,1,0.88,1,0.88,96.03010348,0
K2-158 c,K2-158,0.0622,1.28,0.95,1.28,0.95,80.99129821,7.036445554
K2-166 b,K2-166,0.0858,2.19,1.61,2.19,1.61,80.22440152,5.727274042
K2-167 b,K2-167,,2.052,1.47,2.052,1.47,78.17442634,0
K2-169 b,K2-169,,1.341,0.98,1.341,0.98,79.74840808,0
K2-170 b,K2-170,,1.418,0.98,1.418,0.98,75.4179233,0
K2-175 b,K2-175,,2.038,1.42,2.038,1.42,76.03418399,0
K2-183 b,K2-183,,1.1,0.87,1.1,0.87,86.30804755,0
K2-185 b,K2-185,,1.15,0.94,1.15,0.94,89.19792221,0
K2-187 b,K2-187,0.0164,1.3,0.92,1.3,0.92,77.2270063,1.915766492
K2-188 b,K2-188,,1.259,1.11,1.259,1.11,96.21038962,0
K2-19 d,K2-19,0.036,1.22,1.01,1.22,1.01,90.34128588,3.830607716
K2-190 b,K2-190,,0.91,1,0.91,1,119.9177116,0
K2-190 c,K2-190,,1.093,0.91,1.093,0.91,90.85439799,0
K2-209 b,K2-209,,0.869,0.71,0.869,0.71,89.15861161,0
K2-210 b,K2-210,,0.86,0.89,0.86,0.89,112.9318077,0
K2-213 b,K2-213,,1.514,1.2,1.514,1.2,86.49282768,0
K2-219 b,K2-219,,1.47,1.32,1.47,1.32,97.98990151,0
K2-219 c,K2-219,,1.438,1.19,1.438,1.19,90.30520858,0
K2-223 b,K2-223,,0.91,1.01,0.91,1.01,121.1168888,0
K2-229 b,K2-229,,1,0.79,1,0.79,86.2088429,0
K2-230 b,K2-230,0.0409,1.96,1.39,1.96,1.39,77.38975176,3.162241689
K2-243 c,K2-243,0.1817,2.01,1.39,2.01,1.39,75.46463356,14.04839401
K2-266 c,K2-266,0.0679,0.705,0.7,0.705,0.7,108.3511806,10.42457328
K2-269 b,K2-269,0.0531,1.57,1.45,1.57,1.45,100.7843443,3.935619203
K2-279 b,K2-279,,1,0.76,1,0.76,82.93508937,0
K2-294 b,K2-294,,1.66,1.2,1.66,1.2,78.88562717,0
K2-32 e,K2-32,0.04951,1.01,0.84,1.01,0.84,90.75752354,6.334322814
K2-352 b,K2-352,,1.37,0.95,1.37,0.95,75.67070198,0
K2-369 b,K2-369,,1.217,0.87,1.217,0.87,78.01056064,0
K2-373 b,K2-373,,2.061,1.49,2.061,1.49,78.89200641,0
K2-38 b,K2-38,,1.906,1.38,1.906,1.38,79.00979133,0
K2-407 b,K2-407,,1.283,0.93,1.283,0.93,79.10082569,0
K2-413 b,K2-413,0.0117,0.76,0.7,0.76,0.7,100.5099767,1.796281404
KOI-1831 d,Kepler-324,0.1949,1.1,0.83,1.1,0.83,82.33986146,25.23598722
KOI-3503 b,KOI-3503,,1.19,1.25,1.19,1.25,114.6272244,0
KOI-3503 c,KOI-3503,,1.21,1.25,1.21,1.25,112.7325595,0
KOI-351 b,KOI-351,0.0738,1.29,1.2,1.29,1.2,101.5117373,6.609394397
KOI-351 c,KOI-351,0.089,1.19,1.2,1.19,1.2,110.0421354,7.970678879
