Exoplanet,Host star,a,Ds,Dp,Diameter of planet in terms of Earth's diameter,Diameter of star in terms of Sun's diameter,Ds/Dp,d/Ds
11 Com b,11 Com,1.29,,19,0,19,#DIV/0!,7.296635662
11 Com b,11 Com,1.21,,19,0,19,#DIV/0!,6.844131125
11 UMi b,11 UMi,1.54,,24.08,0,24.08,#DIV/0!,6.873070369
11 UMi b,11 UMi,1.51,,24.08,0,24.08,#DIV/0!,6.739179388
11 UMi b,11 UMi,1.53,,29.79,0,29.79,#DIV/0!,5.519598396
14 And b,14 And,0.83,,11,0,11,#DIV/0!,8.109086991
14 And b,14 And,0.68,,11,0,11,#DIV/0!,6.643589342
14 Her b,14 Her,2.8,,11,0,11,#DIV/0!,27.35595611
14 Her b,14 Her,2.83,,1,0,1,#DIV/0!,304.1396121
14 Her b,14 Her,2.864,,1,0,1,#DIV/0!,307.7935862
14 Her b,14 Her,2.93,,0.93,0,0.93,#DIV/0!,338.5877364
14 Her b,14 Her,2.73,,0.93,0,0.93,#DIV/0!,315.4759455
14 Her b,14 Her,2.773069,,0.93,0,0.93,#DIV/0!,320.4529541
14 Her b,14 Her,2.82,,0.93,0,0.93,#DIV/0!,325.8762514
14 Her b,14 Her,2.77,,0.93,0,0.93,#DIV/0!,320.0983037
16 Cyg B b,16 Cyg B,1.66,,1.13,0,1.13,#DIV/0!,157.8760299
16 Cyg B b,16 Cyg B,1.676,,1.16,0,1.16,#DIV/0!,155.2753716
16 Cyg B b,16 Cyg B,1.681,,1.16,0,1.16,#DIV/0!,155.7386036
16 Cyg B b,16 Cyg B,1.6,,1.16,0,1.16,#DIV/0!,148.2342449
16 Cyg B b,16 Cyg B,1.68,,1.13,0,1.13,#DIV/0!,159.7781507
16 Cyg B b,16 Cyg B,1.68,,1.13,0,1.13,#DIV/0!,159.7781507
17 Sco b,17 Sco,1.45,,25.92,0,25.92,#DIV/0!,6.012008102
18 Del b,18 Del,2.6,,8.5,0,8.5,#DIV/0!,32.87312373
18 Del b,18 Del,2.54,,8.5,0,8.5,#DIV/0!,32.11451318
1RXS J160929.1-210524 b,1RXS J160929.1-210524,330,18.647,1.35,18.647,1.35,7.900408041,26270.4023
1RXS J160929.1-210524 b,1RXS J160929.1-210524,330,,1.35,0,1.35,#DIV/0!,26270.4023
1RXS J160929.1-210524 b,1RXS J160929.1-210524,330,,1.35,0,1.35,#DIV/0!,26270.4023
1RXS J160929.1-210524 b,1RXS J160929.1-210524,330,,1.31,0,1.31,#DIV/0!,27072.55199
24 Boo b,24 Boo,0.19,,10.64,0,10.64,#DIV/0!,1.919104064
24 Sex b,24 Sex,1.333,,4.9,0,4.9,#DIV/0!,29.23617963
24 Sex c,24 Sex,2.08,,4.9,0,4.9,#DIV/0!,45.61984518
2M0437 b,2MASS J04372171+2651014,118,,0.84,0,0.84,#DIV/0!,15096.95197
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,84,,0.84,0,0.84,#DIV/0!,10746.98276
2MASS J01225093-2439505 b,2MASS J01225093-2439505,,11.209,0.37,11.209,0.37,3.602131636,0
2MASS J01225093-2439505 b,2MASS J01225093-2439505,52,,0.37,0,0.37,#DIV/0!,15103.86766
2MASS J02192210-3925225 b,2MASS J02192210-3925225,156,16.141,0.28,16.141,0.28,1.89300743,59876.0468
2MASS J04414489+2301513 b,2MASS J04414489+2301513,15,,,0,0,#DIV/0!,#DIV/0!
2MASS J12073346-3932539 b,2MASS J12073346-3932539,55,,,0,0,#DIV/0!,#DIV/0!
2MASS J12073346-3932539 b,2MASS J12073346-3932539,46,,0.22,0,0.22,#DIV/0!,22470.96395
2MASS J19383260+4603591 b,2MASS J19383260+4603591,,,0.2,0,0.2,#DIV/0!,0
2MASS J19383260+4603591 b,2MASS J19383260+4603591,0.92,,,0,0,#DIV/0!,#DIV/0!
2MASS J22362452+4751425 b,2MASS J22362452+4751425,230,,,0,0,#DIV/0!,#DIV/0!
30 Ari B b,30 Ari B,0.995,,1.13,0,1.13,#DIV/0!,94.6305119
30 Ari B b,30 Ari B,1.01,,1.13,0,1.13,#DIV/0!,96.05710253
30 Ari B b,30 Ari B,0.99,,1.41,0,1.41,#DIV/0!,75.45753852
4 UMa b,4 UMa,0.87,,18.11,0,18.11,#DIV/0!,5.162824406
42 Dra b,42 Dra,1.19,,22.03,0,22.03,#DIV/0!,5.805224459
47 UMa b,47 UMa,2.1,,,0,0,#DIV/0!,#DIV/0!
47 UMa b,47 UMa,2.1,,1.21,0,1.21,#DIV/0!,186.5178826
47 UMa b,47 UMa,2.11,,,0,0,#DIV/0!,#DIV/0!
47 UMa b,47 UMa,2.11,,,0,0,#DIV/0!,#DIV/0!
47 UMa b,47 UMa,2.059,,1.14,0,1.14,#DIV/0!,194.1055921
47 UMa c,47 UMa,3.6,,1.21,0,1.21,#DIV/0!,319.7449416
47 UMa c,47 UMa,7.73,,,0,0,#DIV/0!,#DIV/0!
47 UMa c,47 UMa,3.404,,1.14,0,1.14,#DIV/0!,320.9011343
47 UMa d,47 UMa,11.6,,1.21,0,1.21,#DIV/0!,1030.289256
