pl_name (Exoplanet),hostname (Host star),pl_orbsmax (d),pl_rade (Dp),st_rad (Ds),Diameter of planet in terms of Earth's diameter,Diameter of star in terms of Sun's diameter,Ds/Dp,d/Ds
EPIC 201757695.02,EPIC 201757695,0.0296,0.908,0.66,0.908,0.66,79.32001939,4.819858934
EPIC 212624936 b,EPIC 212624936,,1.2,0.93,1.2,0.93,84.57196613,0
EPIC 220492298 b,EPIC 220492298,,0.99,0.89,0.99,0.89,98.10237844,0
EPIC 249893012 b,EPIC 249893012,0.047,1.95,1.71,1.95,1.71,95.69433389,2.953849062
HD 158259 b,HD 158259,,1.292,1.26,1.292,1.26,106.4223283,0
HD 213885 b,HD 213885,,1.613,1.13,1.613,1.13,76.44847048,0
HD 93963 A b,HD 93963 A,0.02085,1.35,1.04,1.35,1.04,84.06675726,2.15456337
HR 858 b,HR 858,,1.771,1.28,1.771,1.28,78.87077951,0
K2-100 b,K2-100,,1.52,1.27,1.52,1.27,91.17690746,0
K2-158 c,K2-158,0.0622,1.28,0.95,1.28,0.95,80.99129821,7.036445554
K2-166 b,K2-166,0.0858,2.19,1.61,2.19,1.61,80.22440152,5.727274042
K2-167 b,K2-167,,2.052,1.47,2.052,1.47,78.17442634,0
K2-170 b,K2-170,,1.418,0.98,1.418,0.98,75.4179233,0
K2-175 b,K2-175,,2.038,1.42,2.038,1.42,76.03418399,0
K2-183 b,K2-183,,1.1,0.87,1.1,0.87,86.30804755,0
K2-190 b,K2-190,,0.91,1,0.91,1,119.9177116,0
K2-190 c,K2-190,,1.093,0.91,1.093,0.91,90.85439799,0
K2-209 b,K2-209,,0.869,0.71,0.869,0.71,89.15861161,0
K2-213 b,K2-213,,1.514,1.2,1.514,1.2,86.49282768,0
K2-230 b,K2-230,0.0409,1.96,1.39,1.96,1.39,77.38975176,3.162241689
K2-243 c,K2-243,0.1817,2.01,1.39,2.01,1.39,75.46463356,14.04839401
K2-266 c,K2-266,0.0679,0.705,0.7,0.705,0.7,108.3511806,10.42457328
K2-294 b,K2-294,,1.66,1.2,1.66,1.2,78.88562717,0
K2-352 b,K2-352,,1.37,0.95,1.37,0.95,75.67070198,0
K2-369 b,K2-369,,1.217,0.87,1.217,0.87,78.01056064,0
K2-373 b,K2-373,,2.061,1.49,2.061,1.49,78.89200641,0
K2-413 b,K2-413,0.0117,0.76,0.7,0.76,0.7,100.5099767,1.796281404
KOI-4777.01,KOI-4777,0.008,0.51,0.4,0.51,0.4,85.58832752,2.149396552
Kepler-100 c,Kepler-100,,2.221,1.56,2.221,1.56,76.64798894,0
Kepler-101 c,Kepler-101,0.067,0.96,1.1,0.96,1.1,125.0391972,6.545889498
Kepler-1047 c,Kepler-1047,,0.99,1.13,0.99,1.13,124.5569524,0
Kepler-106 b,Kepler-106,,0.92,1.05,0.92,1.05,124.5449712,0
Kepler-107 d,Kepler-107,0.083,1.08,1.18,1.08,1.18,119.2292951,7.559318381
Kepler-1130 c,Kepler-1130,,0.792,0.84,0.792,0.84,115.7387611,0
Kepler-1142 b,Kepler-1142,0.134,1.16,0.86,1.16,0.86,80.90310442,16.74529872
Kepler-1163 b,Kepler-1163,0.069,0.97,1.12,0.97,1.12,126.0001358,6.620909021
Kepler-1169 b,Kepler-1169,0.067,1.04,1.21,1.04,1.21,126.9628772,5.950808635
Kepler-1174 b,Kepler-1174,,2.614,1.8,2.614,1.8,75.14353928,0
Kepler-125 c,Kepler-125,0.051,0.74,0.51,0.74,0.51,75.20785131,10.74698276
Kepler-1377 b,Kepler-1377,0.0153,1.22,0.87,1.22,0.87,77.8187314,1.889986623
Kepler-1401 b,Kepler-1401,0.1,1.23,0.95,1.23,0.95,84.28362741,11.31261343
Kepler-1423 b,Kepler-1423,,1.06,0.75,1.06,0.75,77.21116811,0
Kepler-1445 b,Kepler-1445,,1.134,1.35,1.134,1.35,129.9108543,0
Kepler-1488 c,Kepler-1488,,1.652,1.52,1.652,1.52,100.4056772,0
Kepler-1563 b,Kepler-1563,0.0442,0.75,0.88,0.75,0.88,128.040138,5.39791634
Kepler-1637 b,Kepler-1637,,0.89,1.02,0.89,1.02,125.0647415,0
Kepler-1691 b,Kepler-1691,0.0495,1.72,1.19,1.72,1.19,75.49935461,4.470383584
Kepler-1714 b,Kepler-1714,0.1047,3.04,2.09,3.04,2.09,75.02351834,5.383775573
Kepler-1745 b,Kepler-1745,,1.929,1.4,1.929,1.4,79.19915222,0
Kepler-1768 b,Kepler-1768,,2.233,1.57,2.233,1.57,76.72478039,0
Kepler-1804 b,Kepler-1804,,1.596,1.67,1.596,1.67,114.1848035,0
Kepler-1848 b,Kepler-1848,0.055,1,0.7,1,0.7,76.38758231,8.444057882
Kepler-1857 b,Kepler-1857,0.086,1.57,1.11,1.57,1.11,77.1521532,8.326491146
Kepler-1866 b,Kepler-1866,0.102,1.14,0.94,1.14,0.94,89.98036012,11.66161959
Kepler-1867 b,Kepler-1867,,1.16,0.82,1.16,0.82,77.14016933,0
Kepler-1888 b,Kepler-1888,,1.326,1.25,1.326,1.25,102.870586,0
Kepler-1898 b,Kepler-1898,0.051,0.74,0.84,0.74,0.84,123.8717551,6.524953818
Kepler-1907 c,Kepler-1907,,1.155,0.8,1.155,0.8,75.58449703,0
Kepler-1913 b,Kepler-1913,,1.519,1.08,1.519,1.08,77.58731205,0
Kepler-1923 b,Kepler-1923,0.2846,1.83,1.29,1.83,1.29,76.92426322,23.71001002
Kepler-1927 b,Kepler-1927,,3.406,2.48,3.406,2.48,79.45692649,0
Kepler-1934 b,Kepler-1934,,0.913,1.03,0.913,1.03,123.1093879,0
Kepler-1943 b,Kepler-1943,0.0571,1.1,0.97,1.1,0.97,96.22851279,6.326316655
Kepler-1955 b,Kepler-1955,,1.167,1.29,1.167,1.29,120.6267367,0
Kepler-1959 b,Kepler-1959,,1.143,0.81,1.143,0.81,77.3327605,0
