,Exoplanet,Host star,a,Ds,Dp,Ds/Dp,d/Ds
0,EPIC 201595106 b,EPIC 201595106,,1.2,0.99,90.02822201,0
1,EPIC 201757695.02,EPIC 201757695,0.0296,0.908,0.66,79.32001939,4.819858934
2,EPIC 206024342 c,EPIC 206024342,,1.4,1.1,85.74116382,0
3,EPIC 212587672 b,EPIC 212587672,,1.26,0.98,84.87509146,0
4,EPIC 212624936 b,EPIC 212624936,,1.2,0.93,84.57196613,0
5,EPIC 220492298 b,EPIC 220492298,,0.99,0.89,98.10237844,0
6,EPIC 249893012 b,EPIC 249893012,0.047,1.95,1.71,95.69433389,2.953849062
7,HD 158259 b,HD 158259,,1.292,1.26,106.4223283,0
8,HD 213885 b,HD 213885,,1.613,1.13,76.44847048,0
9,HD 21749 c,GJ 143,0.0695,0.892,0.69,84.41292729,10.82485945
10,HD 23472 d,HD 23472,0.04298,0.75,0.71,103.3051113,6.505708718
11,HD 23472 e,HD 23472,0.068,0.818,0.71,94.71740035,10.2928849
12,HD 80653 b,HD 80653,,1.611,1.26,85.34925398,0
13,HD 93963 A b,HD 93963 A,0.02085,1.35,1.04,84.06675726,2.15456337
14,HR 858 b,HR 858,,1.771,1.28,78.87077951,0
15,K2-100 b,K2-100,,1.52,1.27,91.17690746,0
16,K2-111 b,K2-111,,1.41,1.27,98.28999953,0
17,K2-116 b,K2-116,0.048,0.69,0.67,105.9620707,7.699330932
18,K2-157 b,K2-157,,1.0,0.88,96.03010348,0
19,K2-158 c,K2-158,0.0622,1.28,0.95,80.99129821,7.036445554
20,K2-166 b,K2-166,0.0858,2.19,1.61,80.22440152,5.727274042
21,K2-167 b,K2-167,,2.052,1.47,78.17442634,0
22,K2-169 b,K2-169,,1.341,0.98,79.74840808,0
23,K2-170 b,K2-170,,1.418,0.98,75.4179233,0
24,K2-175 b,K2-175,,2.038,1.42,76.03418399,0
25,K2-183 b,K2-183,,1.1,0.87,86.30804755,0
26,K2-185 b,K2-185,,1.15,0.94,89.19792221,0
27,K2-187 b,K2-187,0.0164,1.3,0.92,77.2270063,1.915766492
28,K2-188 b,K2-188,,1.259,1.11,96.21038962,0
29,K2-19 d,K2-19,0.036,1.22,1.01,90.34128588,3.830607716
30,K2-190 b,K2-190,,0.91,1.0,119.9177116,0
31,K2-190 c,K2-190,,1.093,0.91,90.85439799,0
32,K2-209 b,K2-209,,0.869,0.71,89.15861161,0
33,K2-210 b,K2-210,,0.819,0.85,113.2556165,0
34,K2-213 b,K2-213,,1.514,1.2,86.49282768,0
35,K2-219 b,K2-219,,1.47,1.32,97.98990151,0
36,K2-219 c,K2-219,,1.438,1.19,90.30520858,0
37,K2-223 b,K2-223,,0.89,1.0,122.6124917,0
38,K2-229 b,K2-229,,1.0,0.79,86.2088429,0
39,K2-230 b,K2-230,0.0409,1.96,1.39,77.38975176,3.162241689
